name,address,city,state,zip,phone,type,schedule,eligibility,notes,monday,tuesday,wednesday,thursday,friday,saturday,sunday,monday_frequency,tuesday_frequency,wednesday_frequency,thursday_frequency,friday_frequency,saturday_frequency,sunday_frequency,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours
Harvest Ridge Apartments,1388 E Palomar Street,Chula Vista,CA,91913,,walk-up,1:30 PM,Seniors 60+ only,,false,true,false,false,false,false,false,,2nd,,,,,,,1:30 PM - 3:00 PM,,,,,
El Cajon Seventh-Day Adventist Church,1630 E Madison Avenue,El Cajon,CA,92019,,drive-through,3:30 PM,All are welcome,Produce distribution,false,true,false,false,false,false,false,,3rd,,,,,,,3:30 PM - 5:00 PM,,,,,
Ascension Evangelical Lutheran Church,5106 Zion Avenue,San Diego,CA,92120,,not mentioned,8:30 AM,EFAP income guidelines apply,Tuesdays & Saturdays,false,true,false,false,false,true,false,,Weekly,,,,Weekly,,,8:30 AM - 10:30 AM,,,,8:30 AM - 10:30 AM,
Ascension Evangelical Lutheran Church,6767 51st Street,San Diego,CA,92120,,not mentioned,8:30 AM,EFAP income guidelines apply,Rescheduled July 10,false,false,false,true,false,false,false,,,,1st,,,,,,8:30 AM - 10:30 AM,,,,
St Mark's Lutheran Church,580 Hilltop Drive,Chula Vista,CA,91910,,walk-up & drive-through,9:00 AM,Seniors 60+ only,,false,true,false,false,false,false,false,,2nd,,,,,,,9:00 AM - 11:30 AM,,,,,
Lutheran Social Services of SoCal Project Hand,580 Hilltop Drive,Chula Vista,CA,91910,,walk-up,9:00 AM,EFAP income guidelines apply,Closed select holidays,true,false,true,false,true,false,false,Weekly,,Weekly,,Weekly,,,9:00 AM - 2:00 PM,,9:00 AM - 2:00 PM,,9:00 AM - 2:00 PM,,
Lutheran Social Services of SoCal Project Hand,580 Hilltop Drive,Chula Vista,CA,91910,,drive-through,9:00 AM,EFAP income guidelines apply,,false,false,false,true,false,false,false,,,,2nd,,,,,,9:00 AM - until gone,,,,
National City Public Library,1401 National City Boulevard,National City,CA,91950,,walk-up & drive-through,8:00 AM,Seniors 60+ only,,false,false,false,true,false,false,false,,,,4th,,,,,,8:00 AM - 11:00 AM,,,,
Apostolic Assembly First Church San Diego,611 South 35th St,San Diego,CA,92113,,walk-up & drive-through,10:00 AM,EFAP income guidelines apply,,false,false,false,true,false,false,false,,,,2nd,,,,,,10:00 AM - 12:00 PM,,,,
St Vincent De Paul / Father Joe's Villages,3350 E Street,San Diego,CA,92102,,walk-up & drive-through,12:00 PM,EFAP income guidelines apply,,false,false,false,true,false,false,false,,,,Weekly,,,,,,12:00 PM - 2:00 PM,,,,
South Bay Pentecostal,395 D Street,Chula Vista,CA,91910,,drive-through,9:00 AM,All are welcome,Produce distribution,false,false,false,true,false,false,false,,,,1st,,,,,,9:00 AM - until gone,,,,
SBCS National City Family Resource Center,304 West 18th Street,National City,CA,91950,,walk-up,Tuesdays–Thursdays 8:00 AM,EFAP income guidelines apply,Bring cart & reusable bags; holiday closures listed,false,true,true,true,false,false,false,,weekly,weekly,weekly,,,,,8:00 AM - 12:00 PM,8:00 AM - 12:00 PM,8:00 AM - 12:00 PM,,,
Good News Baptist Church,4106 Swift Avenue,San Diego,CA,92104,,walk-up,1st Friday 9:00 AM,EFAP income guidelines apply,Line numbers issued at 7:00 AM; holiday reschedule,false,false,false,false,true,false,false,,,,,1st,,,9:00 AM - 11:00 AM,,,,,,
Good News Missionary Baptist Church,4106 Swift Avenue,San Diego,CA,92104,,walk-up,2nd Wednesday 1:30 PM,Seniors only (60+),30 lb food box,false,false,true,false,false,false,false,,,2nd,,,,,1:30 PM - 2:30 PM,,,,,,
San Diego Food Bank at Jamul Casino,14145 Campo Road,Jamul,CA,91935,,walk-up,4th Tuesday 9:00 AM,All are welcome,Produce; diapers & period supplies,false,true,false,false,false,false,false,,4th,,,,,,9:00 AM - 10:00 AM,,,,,,
St Paul United Methodist Church of San Diego,3094 L Street,San Diego,CA,92102,,walk-up,1st & 4th Thursday,EFAP income guidelines apply,Diapers & period supplies; holiday reschedules,false,false,false,true,false,false,false,,,,1st & 4th,,,,,12:00 PM - 2:00 PM; 3:30 PM - 5:30 PM,,,,,
CMC Good Neighbor Center (Meade Site),3295 Meade Avenue,San Diego,CA,92116,,walk-up,Wednesdays 10:00 AM,EFAP income guidelines apply,Holiday closures listed,false,false,true,false,false,false,false,,,weekly,,,,,10:00 AM - 12:00 PM,,,,,,
Laurel Park Apartments,10122 Buena Vista Avenue,Santee,CA,92071,,walk-up,4th Monday 10:30 AM,Seniors only (60+),30 lb food box; holiday reschedules,true,false,false,false,false,false,true,4th,,,,,,10:30 AM - 11:30 AM,,,,,,,
Stepping Higher Incorporated,138 28th Street,San Diego,CA,92102,,walk-up,Tuesdays–Thursdays 10:00 AM,EFAP income guidelines apply,Food Bank ID cards; holiday closures,false,true,true,true,false,false,false,,weekly,weekly,weekly,,,,,10:00 AM - 1:00 PM,10:00 AM - 1:00 PM,10:00 AM - 1:00 PM,,,
San Diego Broadway Spanish Seventh Day Adventist,2411 Broadway Street,San Diego,CA,92102,,not mentioned,1st Saturday 2:30 PM,EFAP income guidelines apply,Holiday reschedules,false,false,false,false,false,true,false,,,,,,1st,,2:30 PM - 4:30 PM,,,,,,
Sherman Heights Community Center,2258 Island Avenue,San Diego,CA,92102,,walk-up,1st Thursday 9:00 AM,EFAP income guidelines apply,Special lines for seniors & people with disabilities,false,false,false,true,false,false,false,,,,1st,,,,,9:00 AM - 12:00 PM,,,,,
Sherman Heights Community Center (Seniors),2258 Island Avenue,San Diego,CA,92102,,walk-up,2nd Wednesday 9:00 AM,Seniors only (60+),Dog food available,false,false,true,false,false,false,false,,,2nd,,,,,9:00 AM - 11:00 AM,,,,,,
MAAC Project at Mercado Apartments,2001 Newton Avenue,San Diego,CA,92113,,walk-up,1st Thursday 9:00 AM,EFAP income guidelines apply,Food Bank ID cards available,false,false,false,true,false,false,false,,,,1st,,,,,9:00 AM - 11:00 AM,,,,,
Victory Resource Center,"1220 Third Avenue, Suite 1",Chula Vista,CA,91911,,not mentioned,"Mondays, Wednesdays, Fridays 10:00 AM",EFAP income guidelines apply,Starts Jan 28; extensive holiday closures,true,false,true,false,true,false,false,weekly,,weekly,,weekly,,,10:00 AM - 1:00 PM,,10:00 AM - 1:00 PM,,10:00 AM - 1:00 PM,,
LGBT Community Center (Seniors),3909 Centre Street,San Diego,CA,92103,,drive through & walk-up,4th Tuesday 1:00 PM,Seniors only (60+),Walk-up only for those without vehicles,false,true,false,false,false,false,false,,4th,,,,,,1:00 PM - 3:00 PM,,,,,,
LGBT Community Center (Produce),3909 Centre Street,San Diego,CA,92103,,drive through & walk-up,1st Tuesday 8:00 AM,All are welcome,Food Bank ID cards; holiday reschedule noted,false,true,false,false,false,false,false,,1st,,,,,,8:00 AM - 10:00 AM,,,,,,
MAAC Project at Chula Vista,1385 Third Avenue,Chula Vista,CA,91911,,drive through & walk-up,3rd Thursday 8:30 AM,EFAP income guidelines apply,No holiday reschedules,false,false,false,true,false,false,false,,,,3rd,,,,,8:30 AM - 10:30 AM,,,,,
MAAC Project Community Center (Seniors),1387 3rd Avenue,Chula Vista,CA,91911,,drive through & walk-up,4th Friday 9:00 AM,Seniors only (60+),30 lb food box; holiday reschedules,false,false,false,false,true,false,false,,,,,4th,,,9:00 AM - 3:00 PM,,,,,,
Mountain Empire Route: Jamul Community Church,14866 Lyons Valley Road,Jamul,CA,91935,,drive through,4th Thursday 8:00 AM,Seniors only (60+),Drive-thru only; holiday reschedules,false,false,false,true,false,false,false,,,,4th,,,,,8:00 AM - 8:30 AM,,,,,
Jamul Community Church,14866 Lyons Valley Road,Jamul,CA,91935,,drive through & walk-up,Call for schedule,All are welcome,Nonperishable food & produce; Food ID cards,false,false,false,false,false,false,false,,,,,,,,,,,,,,
San Diego Armed Services YMCA,3293 Santo Road,San Diego,CA,92124,,drive through & walk-up,4th Thursday 10:00 AM,EFAP income guidelines apply,Holiday reschedules,false,false,false,true,false,false,false,,,,4th,,,,,10:00 AM - 12:00 PM,,,,,
Oxford Terrace Apartments,555 Oxford Street,Chula Vista,CA,91911,,walk-up,2nd Wednesday 9:00 AM,EFAP income guidelines apply,Line numbers at 6:00 AM; holiday reschedule,false,false,true,false,false,false,false,,,2nd,,,,,9:00 AM - 1:00 PM,,,,,,
Santee Food Bank,9715 Halberns Boulevard,Santee,CA,92071,,drive through & walk-up,3rd Tuesday 8:00 AM,EFAP income guidelines apply,No holiday reschedules,false,true,false,false,false,false,false,,3rd,,,,,,8:00 AM - 11:00 AM,,,,,,
Salvation Army Downtown,730 F Street,San Diego,CA,92101,,walk-up,4th Tuesday 9:00 AM,Seniors only (60+),30 lb food box,false,true,false,false,false,false,false,,4th,,,,,,9:00 AM - 11:30 AM,,,,,,
Salvation Army Centre City,825 7th Avenue,San Diego,CA,92101,,walk-up,3rd Friday 9:00 AM,EFAP income guidelines apply,Holiday reschedule in June,false,false,false,false,true,false,false,,,,,3rd,,,9:00 AM - 11:00 AM,,,,,,
Lakeside Gardens Inc.,12219 Roberts Way,Lakeside,CA,92040,,drive through & walk-up,4th Monday 9:00 AM,Seniors only (60+),Holiday reschedules,true,false,false,false,false,false,true,4th,,,,,,9:00 AM - 10:00 AM,,,,,,,
Lakeside Christian Helps Center,9931 Channel Road,Lakeside,CA,92040,,walk-up,Monday–Thursday 10:00 AM,EFAP income guidelines apply,Holiday closures listed,true,true,true,true,false,false,false,weekly,weekly,weekly,weekly,,,,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,,,
Special Delivery SD,4021 Goldfinch Street,San Diego,CA,92103,,walk-up,Monday–Thursday 11:30 AM,EFAP income guidelines apply,Holiday closures listed,true,true,true,true,false,false,false,weekly,weekly,weekly,weekly,,,,11:30 AM - 1:00 PM,11:30 AM - 1:00 PM,11:30 AM - 1:00 PM,11:30 AM - 1:00 PM,,,
MAAC Project Villa Lakeshore Apartments,12606 Lakeshore Drive,Lakeside,CA,92040,,drive through,2nd Tuesday 9:00 AM,EFAP income guidelines apply,Until food is gone; drive-thru only,false,true,false,false,false,false,false,,2nd,,,,,,9:00 AM - until gone,,,,,,
Jewish Family Services of SD,8804 Balboa Avenue,San Diego,CA,92123,,drive through & walk-up,2nd Sunday 4:00 PM,EFAP income guidelines apply,No distribution Sept 2026; special Feb hours,false,false,false,false,false,false,true,,,,,,,2nd,,4:00 PM - 5:30 PM,,,,,
Iglesia Cristiana Getsemani,3055 Beyer Boulevard Ste #C101,San Diego,CA,92154,,drive through & walk-up,2nd Wednesday 10:00 AM,EFAP income guidelines apply,Food Bank ID cards; holiday reschedule,false,false,true,false,false,false,false,,,2nd,,,,,10:00 AM - 12:00 PM,,,,,,
CMC Good Neighbor Center (Nestor Site),1120 Nestor Way,Nestor,CA,92154,,walk-up,Tuesdays 8:30 AM,EFAP income guidelines apply,Holiday closures listed,false,true,false,false,false,false,false,,weekly,,,,,,8:30 AM - 10:30 AM,,,,,,
Nestor Methodist Church,1120 Nestor Way,San Diego,CA,92154,,walk-up,2nd Friday 8:00 AM,EFAP income guidelines apply,Line numbers at 5:30 AM,false,false,false,false,true,false,false,,,,,2nd,,,8:00 AM - 10:00 AM,,,,,,
Upper Room Pentecostal,631 12th Street,Imperial Beach,CA,91932,,drive through & walk-up,2nd Saturday 9:00 AM,EFAP income guidelines apply,ID cards available,false,false,false,false,false,true,false,,,,,,2nd,,9:00 AM - 11:00 AM,,,,,,
Hearts & Hands Working Together (Produce),4235 Beyer Blvd.,San Ysidro,CA,92173,,walk-up,1st Tuesday 8:00 AM,All are welcome,Produce distribution; Food Bank ID cards,false,true,false,false,false,false,false,,1st,,,,,,8:00 AM - until gone,,,,,,
Our Lady of Mount Carmel Catholic Church,2020 Alaquinas Drive,San Ysidro,CA,92173,,walk-up,3rd Monday 10:00 AM,Seniors only (60+),Holiday reschedules,true,false,false,false,false,false,true,3rd,,,,,,10:00 AM - 1:30 PM,,,,,,,
Old Town Community Church,2444 Congress Street,San Diego,CA,92110,,drive through & walk-up,Wednesdays 9:00 AM,EFAP income guidelines apply,Holiday closure Nov 11,false,false,true,false,false,false,false,,,weekly,,,,,9:00 AM - 3:00 PM,,,,,,
Imperial Beach Neighborhood Center,455 Palm Avenue,Imperial Beach,CA,91932,,walk-up,3rd Thursday 9:00 AM,EFAP income guidelines apply,Possible location change after Feb 2026,false,false,false,true,false,false,false,,,,3rd,,,,,9:00 AM - 10:30 AM,,,,,
Hearts & Hands Working Together (Pantry),4235 Beyer Blvd.,San Ysidro,CA,92173,,walk-up,Every Friday 9:00 AM,EFAP income guidelines apply,Food Bank ID cards required,false,false,false,false,false,true,false,,,,,,weekly,,,9:00 AM - 12:00 PM,,,,,
Bonita–Spring Valley Food Bank,1262 Sweetwater Road,Chula Vista,CA,91910,,drive through & walk-up,1st & 3rd Wednesday 9:00 AM,EFAP income guidelines apply,Drive-thru preferred; holidays may reschedule,false,false,true,false,false,false,false,,,1st & 3rd,,,,,9:00 AM - 11:30 AM,,,,,,
East County Transitional Living Center,250 E. Main Street,El Cajon,CA,92020,,walk-up,Thursdays 10:00 AM,EFAP income guidelines apply,Holiday closures,false,false,true,false,false,false,false,,,weekly,,,,,10:00 AM - 12:00 PM,,,,,,
Father Joe’s Villages,1501 Imperial Avenue,San Diego,CA,92101,,walk-up,Monday–Friday 8:00 AM,All are welcome,Holiday closures; ID card recommended,true,true,true,true,true,false,false,weekly,weekly,weekly,weekly,weekly,,,,8:00 AM - 12:00 PM,8:00 AM - 12:00 PM,8:00 AM - 12:00 PM,8:00 AM - 12:00 PM,8:00 AM - 12:00 PM,
Escondido Community Services,650 W. 9th Avenue,Escondido,CA,92025,,walk-up,2nd & 4th Tuesday 9:00 AM,EFAP income guidelines apply,Holiday reschedules; line forms at 7:30 AM,false,true,false,false,false,false,true,,2nd & 4th,,,,,9:00 AM - 11:00 AM,,,,,,,
Vista Community Clinic,1000 Vale Terrace Drive,Vista,CA,92084,,drive through,1st Wednesday 10:00 AM,EFAP income guidelines apply,Drive-thru only; no holiday service,false,false,true,false,false,false,false,,,1st,,,,,10:00 AM - 12:00 PM,,,,,,
North County Food Bank,1050 E. Valley Parkway,Escondido,CA,92027,,walk-up,3rd Thursday 8:30 AM,EFAP income guidelines apply,Line numbers distributed at 7:00 AM; holiday closures,false,false,true,false,false,false,false,,,3rd,,,,,8:30 AM - 11:00 AM,,,,,,
Interfaith Community Services,550 W. Washington Avenue,Escondido,CA,92025,,walk-up,Fridays 9:00 AM,EFAP income guidelines apply,Holiday closures; donations accepted,false,false,false,false,true,false,false,,,,,weekly,,,9:00 AM - 12:00 PM,,,,,,
San Marcos Food Bank,1140 W. Mission Road,San Marcos,CA,92069,,walk-up,1st Saturday 9:00 AM,EFAP income guidelines apply,Holiday closures,false,false,false,false,false,true,false,,,,,,1st,,9:00 AM - 12:00 PM,,,,,,
Carlsbad Community Church,3175 Harding Street,Carlsbad,CA,92008,,drive through & walk-up,2nd & 4th Wednesday 10:00 AM,EFAP income guidelines apply,Holiday closures,false,false,true,false,false,false,false,,,2nd & 4th,,,,,10:00 AM - 12:00 PM,,,,,,
Encinitas Community Center,1140 Oakcrest Park Drive,Encinitas,CA,92024,,walk-up,Thursdays 9:00 AM,EFAP income guidelines apply,Holiday closures; donations accepted,false,false,true,false,false,false,false,,,weekly,,,,,9:00 AM - 11:30 AM,,,,,,
Del Mar Food Pantry,225 9th Street,Del Mar,CA,92014,,walk-up,1st Tuesday 10:00 AM,EFAP income guidelines apply,Holiday closures; ID cards required,false,true,false,false,false,false,true,,1st,,,,,10:00 AM - 12:00 PM,,,,,,,
Solana Beach Lutheran Church,120 Stevens Avenue,Solana Beach,CA,92075,,walk-up,3rd Thursday 9:00 AM,EFAP income guidelines apply,Holiday closures,false,false,true,false,false,false,false,,,3rd,,,,,9:00 AM - 11:00 AM,,,,,,
Rancho Bernardo Community Food Pantry,16820 Bernardo Center Drive,Rancho Bernardo,CA,92127,,walk-up,1st & 3rd Monday 9:00 AM,EFAP income guidelines apply,Holiday closures,true,false,false,false,false,true,false,1st & 3rd,,,,,9:00 AM - 11:30 AM,,,,,,,,
Poway Food Pantry,13550 Midland Road,Poway,CA,92064,,walk-up,2nd Tuesday 9:00 AM,EFAP income guidelines apply,Holiday closures,false,true,false,false,false,false,true,,2nd,,,,,9:00 AM - 11:00 AM,,,,,,,
Jewish Family Services North County,160 Calle Magdalena,Encinitas,CA,92024,,walk-up,Every Thursday 10:00 AM,EFAP income guidelines apply,Holiday closures,false,false,true,false,false,false,false,,,weekly,,,,,10:00 AM - 12:00 PM,,,,,,
San Dieguito United Methodist Church,170 Calle Magdalena,Encinitas,CA,92024,,walk-up,3rd Friday 9:00 AM,EFAP income guidelines apply,Holiday closures,false,false,false,false,true,false,false,,,,,3rd,,,9:00 AM - 11:00 AM,,,,,,
